user,channel,message,timestamp,time,donation
user_711,channel_1,Love your content!,2022-07-01 13:44:21,13:44:21,25
user_651,channel_3,It feels like you're stuck in limbo,2022-07-01 13:45:09,13:45:09,0
user_549,channel_1,,2022-07-01 15:47:50,15:47:50,500
user_7,channel_3,IM CRYING CHAT,2022-07-01 16:08:57,16:08:57,0
user_1184,channel_4,)),2022-07-01 16:29:48,16:29:48,0
user_13,channel_1,frontal lobe 5Head,2022-07-01 16:33:31,16:33:31,0
user_3,channel_1,PogChamp,2022-07-01 16:36:21,16:36:21,0
user_121,channel_1,homework,2022-07-01 16:45:10,16:45:10,0
user_364,channel_2,Love your content!,2022-07-01 17:11:11,17:11:11,100
user_1073,channel_1,KEKW,2022-07-01 18:16:35,18:16:35,0
user_920,channel_3,thats actually a good anime though?,2022-07-01 18:59:13,18:59:13,0
user_39,channel_3,@er0zim college early 20s,2022-07-01 19:05:53,19:05:53,0
user_117,channel_3,<3,2022-07-01 19:19:25,19:19:25,0
user_1275,channel_1,You're the best!,2022-07-01 20:56:07,20:56:07,25
user_8,channel_4,DansGame,2022-07-01 21:57:22,21:57:22,0
user_1154,channel_5,<3 <3 <3 <3 <3,2022-07-01 22:32:21,22:32:21,0
user_194,channel_3,true,2022-07-01 22:47:31,22:47:31,0
user_337,channel_3,F,2022-07-01 23:05:55,23:05:55,0
user_544,channel_5,8 years,2022-07-01 23:10:19,23:10:19,0
user_80,channel_2,This guy has an extraordinary amount of compassion. All that's left is for him to start applying it to himself,2022-07-01 23:39:34,23:39:34,0
user_425,channel_4,Pog,2022-07-02 00:40:11,00:40:11,0
user_694,channel_5,Sadge,2022-07-02 01:13:06,01:13:06,0
user_62,channel_3,lol,2022-07-02 01:35:38,01:35:38,0
user_14,channel_5,FeelsStrongMan,2022-07-02 01:47:24,01:47:24,0
user_404,channel_2,AOOOOE,2022-07-02 02:33:19,02:33:19,0
user_375,channel_2,Sadge Clap,2022-07-02 02:35:19,02:35:19,0
user_407,channel_3,when you nut and see your reflection in the screen,2022-07-02 03:03:36,03:03:36,0
user_731,channel_3,!uptime,2022-07-02 03:05:27,03:05:27,0
user_1051,channel_4,Love your content!,2022-07-02 03:30:04,03:30:04,100
user_43,channel_5,//bit.ly/3bqNMfr,2022-07-02 03:45:41,03:45:41,0
user_1239,channel_5,xqcOmega xqcOmega xqcOmega,2022-07-02 04:14:25,04:14:25,0
user_617,channel_2,@killermonk_ow  good,2022-07-02 04:25:55,04:25:55,0
user_753,channel_4,You're the best!,2022-07-02 05:01:56,05:01:56,5
user_21,channel_2,me too,2022-07-02 06:04:27,06:04:27,0
user_37,channel_4,"slayer122Banger  whooooooooooooo are youuuuu - who who,  who who slayer122Banger",2022-07-02 06:16:41,06:16:41,0
user_1175,channel_4,,2022-07-02 06:21:31,06:21:31,1000
user_450,channel_3,YEP,2022-07-02 06:29:49,06:29:49,0
user_368,channel_5,i want a advice YEP,2022-07-02 07:02:11,07:02:11,0
user_387,channel_2,WutFace WutFace WutFace WutFace,2022-07-02 07:03:47,07:03:47,0
user_43,channel_2,"@bsrys9, healthygamer_gg has been streaming for  1 hour 57 mins",2022-07-02 08:07:39,08:07:39,0
user_616,channel_5,@icyryno there is no where to get,2022-07-02 08:32:32,08:32:32,0
user_184,channel_1,5Head level 6,2022-07-02 09:01:59,09:01:59,0
user_1064,channel_5,I BELIEVE !!,2022-07-02 10:35:30,10:35:30,0
user_844,channel_3,Pog,2022-07-02 11:26:26,11:26:26,0
user_880,channel_1,OMEGALUL,2022-07-02 11:46:24,11:46:24,0
user_450,channel_4,BECOME GIGACHAD QUEST EZ,2022-07-02 12:05:09,12:05:09,0
user_913,channel_3,You're the best!,2022-07-02 12:08:14,12:08:14,5
user_452,channel_3,PepoG,2022-07-02 12:39:06,12:39:06,0
user_344,channel_3,5Head odaBicepL oda5Head PROBE,2022-07-02 13:00:15,13:00:15,0
user_267,channel_3,<3 <3 <3,2022-07-02 13:02:48,13:02:48,0
user_575,channel_2,'last of the mohawks',2022-07-02 13:11:21,13:11:21,0
user_26,channel_4,the hit by a vehicle thing is a half lie there,2022-07-02 13:23:13,13:23:13,0
user_248,channel_3,vermintide Pog,2022-07-02 13:30:58,13:30:58,0
user_375,channel_1,TRUE TRUE,2022-07-02 13:49:53,13:49:53,0
user_647,channel_4,"@Brunix126 not sure if you read my reply, but mostly no contact with parents and us siblings live to far apart or no contact aswell... Sadge",2022-07-02 14:23:29,14:23:29,0
user_83,channel_2,Sadge,2022-07-02 15:14:17,15:14:17,0
user_18,channel_4,KEKW,2022-07-02 15:35:51,15:35:51,0
user_822,channel_5,LETS GOO KEKW,2022-07-02 16:43:27,16:43:27,0
user_252,channel_1,,2022-07-02 16:47:26,16:47:26,0
user_556,channel_1,damn,2022-07-02 17:16:28,17:16:28,0
user_161,channel_1,<3,2022-07-02 17:36:35,17:36:35,0
user_252,channel_4,he IS your real dad,2022-07-02 17:50:54,17:50:54,0
user_729,channel_1,"forget all my problems, I'm a MC in DnD",2022-07-02 18:46:09,18:46:09,0
user_133,channel_1,xqcL xqcL xqcL xqcL xqcL xqcL xqcL xqcL,2022-07-02 19:11:45,19:11:45,0
user_344,channel_1,1 day at a time brother,2022-07-02 20:25:26,20:25:26,0
user_71,channel_5,<3 <3 <3,2022-07-02 20:52:30,20:52:30,0
user_416,channel_4,!guide,2022-07-02 23:23:20,23:23:20,0
user_66,channel_5,We believe FeelsStrongMan,2022-07-03 00:11:06,00:11:06,0
user_207,channel_2,my lie detector got a flash,2022-07-03 01:09:51,01:09:51,0
user_1075,channel_2,I don't like mirrors,2022-07-03 01:17:49,01:17:49,0
user_671,channel_4,,2022-07-03 02:09:08,02:09:08,25
user_579,channel_3,Physical condition degrades if not maintained,2022-07-03 02:32:41,02:32:41,0
user_1225,channel_1,You're the best!,2022-07-03 02:34:04,02:34:04,1000
user_454,channel_4,BOOMER,2022-07-03 03:35:08,03:35:08,0
user_283,channel_3,<3 <3 <3 <3 <3 <3 <3,2022-07-03 04:02:55,04:02:55,0
user_22,channel_3,),2022-07-03 04:58:10,04:58:10,0
user_150,channel_5,PNC is great,2022-07-03 05:15:10,05:15:10,0
user_718,channel_2,<3,2022-07-03 06:01:51,06:01:51,0
user_614,channel_5,OOOO FRIDAY,2022-07-03 06:21:29,06:21:29,0
user_650,channel_1,Sadge,2022-07-03 06:44:09,06:44:09,0
user_344,channel_4,PepoG wat important to me,2022-07-03 06:55:13,06:55:13,0
user_109,channel_5,<3 bye,2022-07-03 07:00:56,07:00:56,0
user_708,channel_4,my energy drink is called coffee,2022-07-03 07:29:54,07:29:54,0
user_416,channel_3,@onionkitten patience KEKW,2022-07-03 07:43:58,07:43:58,0
user_234,channel_4,Miyazaki Pog,2022-07-03 07:53:39,07:53:39,0
user_214,channel_3,Domwindu Pog,2022-07-03 08:03:49,08:03:49,0
user_14,channel_3,how old is he?,2022-07-03 08:06:36,08:06:36,0
user_277,channel_4,<3 <3 <3 3<,2022-07-03 08:19:09,08:19:09,0
user_74,channel_1,LUL,2022-07-03 09:02:03,09:02:03,0
user_245,channel_2,damn i feel this,2022-07-03 09:59:45,09:59:45,0
user_1304,channel_2,BabyRage but... but...,2022-07-03 10:00:50,10:00:50,0
user_576,channel_2,You're the best!,2022-07-03 10:03:17,10:03:17,10
user_693,channel_5,NO AHAHAHHAHa,2022-07-03 10:39:45,10:39:45,0
user_27,channel_1,Lmao,2022-07-03 10:47:48,10:47:48,0
user_113,channel_1,LULW,2022-07-03 11:10:48,11:10:48,0
user_160,channel_3,KEKW,2022-07-03 12:31:57,12:31:57,0
user_93,channel_5,<3 <3 <3 <3 <3,2022-07-03 14:01:46,14:01:46,0
user_906,channel_1,OMEGALUL,2022-07-03 14:32:44,14:32:44,0
user_81,channel_1,is it?,2022-07-03 15:03:07,15:03:07,0
user_279,channel_5,REDPILLED DAD-ENJOYER,2022-07-03 15:04:15,15:04:15,0
user_415,channel_3,,2022-07-03 15:06:34,15:06:34,0
user_408,channel_5,LULW,2022-07-03 15:57:23,15:57:23,0
user_80,channel_5,I kove KOTOR 🙂,2022-07-03 16:34:16,16:34:16,0
user_26,channel_3,AHAHA! yes!,2022-07-03 17:07:09,17:07:09,0
user_1302,channel_1,"the twitch chat ""just 4head"" mentality is what holds you back",2022-07-03 17:07:57,17:07:57,0
user_447,channel_1,,2022-07-03 17:26:01,17:26:01,1000
user_988,channel_3,"@chat I just came, whats this guy's story?",2022-07-03 17:26:40,17:26:40,0
